Country,Year,Sales,Lower CI,Upper CI
Japan,2006-01-01,4612318.0,,
Japan,2007-01-01,4325508.0,,
Japan,2008-01-01,4184266.0,,
Japan,2009-01-01,3905310.0,,
Japan,2010-01-01,4203181.0,,
Japan,2011-01-01,3509036.0,,
Japan,2012-01-01,4572333.0,,
Japan,2013-01-01,4562282.0,,
Japan,2014-01-01,4699591.0,,
Japan,2015-01-01,4215889.0,,
Japan,2016-01-01,4146459.0,,
Japan,2017-01-01,4386378.0,,
Japan,2018-01-01,4391160.0,,
Japan,2019-01-01,4301091.0,,
Japan,2020-01-01,3809977.0,,
Japan,2021-01-01,3675698.0,,
Japan,2022-01-01,3448297.0,,
US,2005-01-01,7660000.0,,
US,2006-01-01,7762000.0,,
US,2007-01-01,7562000.0,,
US,2008-01-01,6769000.0,,
US,2009-01-01,5402000.0,,
US,2010-01-01,5636000.0,,
US,2011-01-01,6093000.0,,
US,2012-01-01,7245000.0,,
US,2013-01-01,7586000.0,,
US,2014-01-01,7708000.0,,
US,2015-01-01,7529000.0,,
US,2016-01-01,6883000.0,,
US,2017-01-01,6089000.0,,
US,2018-01-01,5310000.0,,
US,2019-01-01,4702000.0,,
US,2020-01-01,3402000.0,,
US,2021-01-01,3350000.0,,
US,2022-01-01,,,
Sweden,2005-01-01,274301.0,,
Sweden,2006-01-01,282766.0,,
Sweden,2007-01-01,306799.0,,
Sweden,2008-01-01,253982.0,,
Sweden,2009-01-01,213408.0,,
Sweden,2010-01-01,289684.0,,
Sweden,2011-01-01,304984.0,,
Sweden,2012-01-01,279899.0,,
Sweden,2013-01-01,268599.0,,
Sweden,2014-01-01,303948.0,,
Sweden,2015-01-01,345108.0,,
Sweden,2016-01-01,372318.0,,
Sweden,2017-01-01,379393.0,,
Sweden,2018-01-01,353729.0,,
Sweden,2019-01-01,356036.0,,
Sweden,2020-01-01,292024.0,,
Sweden,2021-01-01,301006.0,,
Sweden,2022-01-01,288087.0,,
France,2005-01-01,2068000.0,,
France,2006-01-01,2001000.0,,
France,2007-01-01,2065000.0,,
France,2008-01-01,2050000.0,,
France,2009-01-01,2269000.0,,
France,2010-01-01,2250000.0,,
France,2011-01-01,2204000.0,,
France,2012-01-01,1898000.0,,
France,2013-01-01,1790000.0,,
France,2014-01-01,1796000.0,,
France,2015-01-01,1917000.0,,
France,2016-01-01,2015000.0,,
France,2017-01-01,2110000.0,,
France,2018-01-01,2173000.0,,
France,2019-01-01,2214000.0,,
France,2020-01-01,1650000.0,,
France,2021-01-01,1659000.0,,
France,2022-01-01,1529000.0,,
Japan,2022-12-31,3480955.061095608,3071306.07010648,3890604.052084736
Japan,2023-12-31,3464530.166861753,2914049.8104426926,4015010.5232808134
Japan,2024-12-31,3456182.1452969634,2789122.285229939,4123242.0053639878
Japan,2025-12-31,3470220.8588137887,2716233.275129199,4224208.442498378
Japan,2026-12-31,3492524.039829059,2655155.8355701226,4329892.244087996
Japan,2027-12-31,3508772.9144356153,2602462.4499713155,4415083.378899915
Japan,2028-12-31,3506843.277250813,2531992.655542228,4481693.898959398
Japan,2029-12-31,3292227.433763561,2258016.129148362,4326438.7383787595
Japan,2030-12-31,3300981.7371082576,2207152.4048348228,4394811.069381692
Japan,2031-12-31,3343377.065929345,2196240.422057464,4490513.709801226
US,2022-12-31,3633262.0163733717,2165057.3947789716,5101466.637967772
US,2023-12-31,3347272.6450787177,1465195.578146282,5229349.712011154
US,2024-12-31,3224846.2473855633,1029138.2478520717,5420554.246919055
US,2025-12-31,3379386.6148662036,950369.0564593496,5808404.173273058
US,2026-12-31,3444627.3776952033,786264.7435016735,6102990.011888733
US,2027-12-31,3349989.2685101945,451519.45313921385,6248459.083881175
US,2028-12-31,2723373.640982805,-382487.27519056946,5829234.557156179
US,2029-12-31,2897412.166471949,-383020.25901398994,6177844.591957888
US,2030-12-31,3023645.2248728354,-431546.1596274534,6478836.609373124
US,2031-12-31,3117569.9209947693,-518926.4210152924,6754066.263004831
Sweden,2022-12-31,297391.3361586603,237042.8865001746,357739.785817146
Sweden,2023-12-31,299030.42872981814,207796.89765071787,390263.9598089184
Sweden,2024-12-31,292611.33523022453,169430.86922442238,415791.8012360267
Sweden,2025-12-31,293424.7900229425,148916.10706315198,437933.47298273304
Sweden,2026-12-31,298877.0412018072,139689.6109261108,458064.47147750366
Sweden,2027-12-31,299579.5343333648,124568.90796886012,474590.1606978695
Sweden,2028-12-31,288030.5290838109,96481.84818804447,479579.20997957734
Sweden,2029-12-31,286621.2706738223,81560.46534966593,491682.0759979787
Sweden,2030-12-31,288007.7993172204,71217.4322584341,504798.1663760067
Sweden,2031-12-31,286707.44607375155,57684.73320215539,515730.1589453477
France,2022-12-31,1580662.2663513224,1255233.822163416,1906090.7105392287
France,2023-12-31,1491850.4040601822,1040295.5847060907,1943405.2234142735
France,2024-12-31,1543313.2156080478,993274.7442583742,2093351.6869577214
France,2025-12-31,1460422.5379468007,833051.3099116046,2087793.765981997
France,2026-12-31,1516406.8341038954,819629.3795349152,2213184.2886728756
France,2027-12-31,1435780.571461012,680726.6410730887,2190834.501848935
France,2028-12-31,1516188.5989700495,706319.4318034857,2326057.766136613
France,2029-12-31,1436073.2263122494,578870.921523726,2293275.531100773
France,2030-12-31,1492459.3369334124,589754.3278256005,2395164.346041224
France,2031-12-31,1403490.1963646202,460977.4176639945,2346002.975065246
